! note: initial lines of file can contain comments
!
            52 -- model for mesa/star, with angular velocities (omega), with convection velocities (conv_vel). cgs units. lnd=ln(density), lnT=ln(temperature), lnR=ln(radius), L=luminosity, dq=fraction of total mstar in cell; remaining cols are mass fractions.

                          M/Msun      5.3506842667144049D+01
                    model_number                            2908
                        star_age      5.0480109868242461D+06
                       initial_z      2.1789999999999999D-03
                        n_shells                            2375
                        net_name   'basic2.net'
                         species                              10

                lnd                        lnT                        lnR                          L                         dq                      omega                   conv_vel                   h1                         he3                        he4                        c12                        n14                        o16                        ne20                       mg24                       ca40                       fe56     
   43    -2.2330918438696327D+01     1.0529912528573202D+01     2.8524170640134283D+01     3.2187508099146735D+39     6.8493633920157694D-11     7.1002709607954628D-06     1.6664749129598909D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   44    -2.2320086790780804D+01     1.0534522794944669D+01     2.8523971947176756D+01     3.2187507826965036D+39     6.8493633920158103D-11     7.1002709608738365D-06     1.4489530140715540D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   45    -2.2304412645415321D+01     1.0541303762567504D+01     2.8523775278178934D+01     3.2187507574555658D+39     1.3698726784030157D-10     7.1002709610638197D-06     1.2412127757818738D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   46    -2.2287778915800871D+01     1.0547860020760726D+01     2.8523387717883114D+01     3.2187507126276648D+39     6.8493633920158520D-11     7.1002709614235826D-06     1.2609306570180252D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   47    -2.2277079265753458D+01     1.0552150584922688D+01     2.8523196968957996D+01     3.2187506928713598D+39     6.8493633920158103D-11     7.1002709614720567D-06     1.0593153149830296D+05     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   48    -2.2261557207833351D+01     1.0558469511930730D+01     2.8523008142619584D+01     3.2187506747986751D+39     1.3698726784030157D-10     7.1002709616397536D-06     8.3666738032128016D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   49    -2.2240351845863490D+01     1.0566623802959498D+01     2.8522635993625677D+01     3.2187506435966981D+39     1.3698726784030035D-10     7.1002709620234849D-06     7.4718439310923550D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   50    -2.2219316043075925D+01     1.0574516576516548D+01     2.8522271250159496D+01     3.2187506185108114D+39     1.3698726784030035D-10     7.1002709621449451D-06     5.9849089366641043D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   51    -2.2203274333930429D+01     1.0580257788750535D+01     2.8521913712071750D+01     3.2187505989080587D+39     6.8493633920160590D-11     7.1002709622193558D-06     5.2857575945641217D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805459D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   52    -2.2192902608727931D+01     1.0584023003117084D+01     2.8521737647036214D+01     3.2187505910133253D+39     6.8493633920158103D-11     7.1002709622528357D-06     3.6068340542623058D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   53    -2.2177785979547461D+01     1.0589579750327264D+01     2.8521563307051231D+01     3.2187505843727635D+39     1.3698726784030035D-10     7.1002709623326403D-06     1.8390177488862182D+04     6.7319145447396646D-01     1.9270629579284818D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   54    -2.2157266580272749D+01     1.0596776160365362D+01     2.8521219591327406D+01     3.2187505748062728D+39     1.3698726784030035D-10     7.1002709624900930D-06     2.4217955530717003D+03     6.7319145447396646D-01     1.9270629579284815D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   55    -2.2136919425374945D+01     1.0603765852952011D+01     2.8520882512529169D+01     3.2187505698216520D+39     1.3698726784030035D-10     7.1002709625460607D-06     4.4257709924425228D+05     6.7319145447396646D-01     1.9270629579284815D-06     3.2465359076270168D-01     1.0517742302805457D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
   56    -2.2116745632092222D+01     1.0610559953624307D+01     2.8520551892052514D+01     3.2187505690025632D+39     1.3698726784037231D-10     7.1002709625845152D-06     2.5902547125025754D+03     6.7319145447396646D-01     1.9270629579284809D-06     3.2465359076270168D-01     1.0517742302805452D-04     4.5619944933404976D-04     7.8452866192074761D-04     2.0616156636728084D-04     9.4403533432819326D-05     2.5751234361831021D-04     2.4904472267258777D-04 
